supplier_id,supplier_name,contact_person,email,phone,country,city,rating,contract_start_date
28,Vitamin Source,Sarah Garcia,contact28@vitaminsource.com,+1-555-7118,UK,Birmingham,4.16,2022-11-25
29,Craft Supplies Ltd,Jane Johnson,contact29@craftsupplieslt.com,+1-555-2049,Canada,Capital City,4.01,2023-04-19
30,Party Essentials,David Johnson,contact30@partyessentials.com,+1-555-1117,Italy,Capital City,3.61,2023-07-16
31,Digital Media Dist,John Smith,contact31@digitalmediadis.com,+1-555-6413,USA,Los Angeles,3.61,2021-05-02
32,Phone Accessories Hub,Jane Chen,contact32@phoneaccessorie.com,+1-555-3167,Japan,Fukuoka,4.59,2023-03-15
33,Camera Equipment Co,Jane Lee,contact33@cameraequipment.com,+1-555-7669,France,Capital City,3.79,2020-07-17
34,Audio Visual Supply,Sarah Lee,contact34@audiovisualsupp.com,+1-555-8651,India,Capital City,4.8,2020-04-20
35,Stationery World,Sarah Garcia,contact35@stationeryworld.com,+1-555-6559,China,Shanghai,4.7,2020-08-11
36,Art Supplies Pro,Jane Chen,contact36@artsuppliespro.com,+1-555-8350,UK,Manchester,3.71,2021-01-10
37,Fitness Equipment Inc,Jane Smith,contact37@fitnessequipmen.com,+1-555-8260,Japan,Fukuoka,4.71,2023-02-01
38,Yoga & Wellness,Emily Chen,contact38@yogaandwellness.com,+1-555-1241,China,Shanghai,4.95,2021-04-29
39,Camping Gear Supply,Sarah Lee,contact39@campinggearsupp.com,+1-555-4502,Germany,Frankfurt,4.8,2020-04-30
40,Fishing Tackle Co,John Lee,contact40@fishingtackleco.com,+1-555-5345,Germany,Frankfurt,4.89,2022-07-20
41,Winter Sports Ltd,Emily Garcia,contact41@wintersportsltd.com,+1-555-8973,Japan,Fukuoka,3.73,2021-08-30
42,Summer Fun Supply,David Garcia,contact42@summerfunsupply.com,+1-555-9883,UK,London,3.59,2021-10-04
43,Educational Toys,David Lee,contact43@educationaltoys.com,+1-555-9238,USA,New York,4.88,2022-12-23
44,Science Kits Direct,David Smith,contact44@sciencekitsdire.com,+1-555-4044,Germany,Berlin,3.6,2020-05-19
45,Green Energy Products,John Chen,contact45@greenenergyprod.com,+1-555-5033,UK,Leeds,4.37,2020-03-22
46,Smart Home Solutions,Sarah Garcia,contact46@smarthomesoluti.com,+1-555-9565,France,Capital City,3.97,2021-06-18
47,Security Systems Co,Jane Brown,contact47@securitysystems.com,+1-555-7484,UK,Birmingham,3.7,2023-08-14
48,Tools & Hardware,Michael Smith,contact48@toolsandhardwar.com,+1-555-1152,Japan,Fukuoka,4.19,2023-02-27
49,Plumbing Supply,David Johnson,contact49@plumbingsupply.com,+1-555-9288,China,Shanghai,3.9,2021-12-15
50,Electrical Components,Michael Brown,contact50@electricalcompo.com,+1-555-3584,China,Beijing,4.16,2023-01-17
